issue,comment_id,user,created_at,updated_at,body,state,comments,title
4,20027343,sckott,2013-06-26T05:05:02Z,2013-06-26T05:05:02Z,"Although, we could make an R interface to git...",NA,NA,NA
4,20029787,karthik,2013-06-26T06:46:32Z,2013-06-26T06:46:32Z,"@SChamberlain How would you do that? I wondered that too at Scifoo where I met the creator of [Authorea](https://www.authorea.com/). We talked about a ropensci interface to Authorea but ultimately it boils down to a git interface. 
",NA,NA,NA
4,20030164,sckott,2013-06-26T06:59:40Z,2013-06-26T06:59:40Z,"Hmm, not sure, wil think about it

On Tuesday, June 25, 2013, Karthik Ram wrote:

> @SChamberlain <https://github.com/SChamberlain> How would you do that? I
> wondered that too at Scifoo where I met the creator of Authorea<https://www.authorea.com/>.
> We talked about a ropensci interface to Authorea but ultimately it boils
> down to a git interface.
>
> —
> Reply to this email directly or view it on GitHub<https://github.com/ropensci/reml/issues/4#issuecomment-20029787>
> .
>",NA,NA,NA
4,20054853,cboettig,2013-06-26T15:19:21Z,2013-06-26T15:19:21Z,"One might start with an RCurl implementation of the Github API.  That would provide data for things of interest (commits, issues, activity, org, users, etc) http://developer.github.com/v3/

For git commands though you might be stuck with wrapping `system` calls (and possibly having to parse their return text from `intern=TRUE`).  Perhaps that could be adequate.  It would allow something like `eml_publish(..., dest=github)` but I'm not sure if that would actually be useful.  I'd want a function to write the URL endpoints into the EML but I might rather push myself...",NA,NA,NA
4,20062714,sckott,2013-06-26T16:50:09Z,2013-06-26T16:50:09Z,"I have some functions I already wrote to do that blog post on github stats on our repos - functions are in the `ropensci::sandbox` repo. Looks like you can actually create commits via the API, and perhaps push, though not positive about that. ",NA,NA,NA
4,20069504,sckott,2013-06-26T18:29:21Z,2013-06-26T18:29:21Z,"Okay, fixed user-agent string now required, just a few functions in the sandbox repo: https://github.com/ropensci/sandbox

Should probably make a separate repo for github...",NA,NA,NA
2,20134120,cboettig,2013-06-27T16:09:21Z,2013-06-27T16:09:21Z,"Basic writing of a valid EML object from an R data.frame is now implemented:

Given the data and metadata above, we simply do:

```ruby
eml$set(givenName = ""Carl"", surName = ""Boettiger"", email = ""cboettig@ropensci.org"")
eml_write(dat, col_metadata, unit_metadata, file=""my_eml_data.xml"")
```

- We translate R object types (integer, float, factor, character string, POSIXt time) automatically
- Generates minimal EML (A dataset node with a contact node and dataTable node)

Much to be done in providing additional metadata fields and support for alternative data types, units, and formats.  See issues under write eml.",NA,NA,NA
6,20172063,cboettig,2013-06-28T06:09:20Z,2013-06-28T06:09:20Z,"Read should be able to handle local files, not just online files.  Likewise an issue for `eml_write` #2 ",NA,NA,NA
6,20172319,cboettig,2013-06-28T06:19:49Z,2013-06-28T19:27:34Z,"Bug in date time parsing: 

```ruby
out <- eml_read(""http://harvardforest.fas.harvard.edu/data/eml/hf205.xml"")
head(out$dataframe)
out$col_metadata
out$unit_metadata
```


In other reading checks, note that this EML file also arbitrarily declares that the data has 9999 columns, while we see that it has 

```ruby
dim(out$dataframe)[1]
[1] 279224
```

### Issues and next steps 

Of course `eml_read` is still a work in progress.  In particular:

(Also note that `eml_read` __still needs a dateTime parser__ on the unit_metadata....)

- [x] How do we deal with dateTime when defined across multiple columns?

",NA,NA,NA
6,20209089,cboettig,2013-06-28T19:26:58Z,2013-06-28T19:26:58Z,"- dateTime bug fixed in 8b7ffee68e118f18b8f5780fb77bb8c5ff63f51d by coercing to `character`.  remaining dateTime issues are now in #17 

- The Harvard Forest `hf205.xml` example still does some wierd things, e.g. the run id numbers (1-6) are encoded as character strings, where a ordered factor might have been more appropriate.  Guess we should just obey the metadata we are given...

- The basic example proposed at the top of this issue does not demonstrate different encodings well, e.g. it uses only a trivial ratio unit (count) and no ordered factors or characters...

",NA,NA,NA
