issue,comment_id,user,created_at,updated_at,body,state,comments,title
1,22503698,cboettig,2013-08-12T15:56:57Z,2013-08-19T12:04:59Z,"@SChamberlain Good point, need to map out the development plan still.  Getting up to speed on S4 classes is probably the first hurdle; certainly it is for me.  Check out classes.R for the definitions -- you'll see that they just correspond to the various kinds of XML node definitions, with class ""slots"" corresponding to xml node attributes or values.  Class names correspond directly to the node names in the schema (e.g. `tree`, `meta`, `edge`, `node`, `otu`)...

Almost all the functions are written as coercion methods (""`setAs()`"", defining an `as` method for the class).  The basic strategy is we just coerce the entire XML document into an S4 class (made up of component S4 classes), e.g. see `nexml_read()`.  Then we have `setAs()` methods  that can coerce the relevant S4 objects into phylo objects, more that can coerce phylo objects into the S4 objects (e.g. `phylo$edge` is coerced into the S4 `edge` class in the process of coercing `phylo` into the the S4 `tree` class see ape.R)  

The cool thing is that once all the coercion methods are written, we have this really flexible, modular structure.  This lets us have very simple calls to make minimally valid NeXML while also letting us parse or build really rich NeXML.  You'll get the hang of it quickly, lemme know if you have questions on how this strategy works.  

The unit tests (`inst/tests`) give you a quick demo of how these methods work.  If you understand the logic there you're probably set.  


So, quick stab at some next steps, which should probably be made into there own issues:

- [ ]  I haven't written any roxygen yet, so that might be a way to get familiar with these while moving stuff forward.  
- [ ] Minor issue but not sure why my aliases, `write.nexml` and `read.nexml` aren't being registered

- [ ] In `setAs(""tree"", ""nexml"", function(from) ... )` (coercing tree to nexml), we need to generate the `<otus>` node still.

- [ ] Flushing out the class slots.  Lots of my class definitions are missing slots for optional attributes.  This doesn't break anything, we simply don't read that information out of the XML and into the S4 when we don't find a slot for it (we = `xmlToS4` method).  Ideally we'll want to support the full schema, so all classes should be expanded.  (The cool thing about the S4 approach is this is relatively easy to do without breaking anything).  

- [ ] Flushing out the remaining classes.  Lots of classes / XML node types not yet written.  Would be good to write these for some practice (@rvosa might be able to suggest best which ones to prioritize?  Or just look at the sample nexml files in `inst/examples/` to see any nodes we haven't defined ...)   In principle, once Duncan has the `XMLSchema` package robustly working, we can generate these classes, along with coercion methods to write them back to XML etc, automatically, which will save a lot of effort.  But since it's quite mechanical writing them by hand doesn't take very long.  

### fancier stuff for later milestones


- [ ] We'll probably want a standard set of top-level `<meta>` nodes with basic metadata information, e.g. creator, date, rights/license, etc (probably mostly expressed in Dublin core namespace.  the TreeBASE NeXML is a good template though it doesn't do all of this).  

We would use different strategies to add different parts of this: For instance, we would want things like author to be configurable through some global package settings, (e.g. `set(author=""Carl Boettiger <cboettig@gmail.com>"")`,
 while publication date we would generate on the fly (from `Sys.time()` probably), and we might be bold and include a `meta` license node in the nexml S4 prototype (e.g. the way we already add attribute `generator=""RNeXML""` to the nexml).

- [ ] Support for coercing more custom types.  For instance, we might want to coerce the publication metadata into an R `bibentry` object, coerce people nodes into R `person` objects, etc.  

- [ ] Support writing custom metadata annotations (a big task, strategy still to be thought out)",NA,NA,NA
1,22507556,sckott,2013-08-12T16:51:13Z,2013-08-12T16:51:13Z,"Cool, put those items you mentioned as separate issues. I will poke around and get familiar with the code first, then try to contribute some code. ",NA,NA,NA
7,22507776,cboettig,2013-08-12T16:54:24Z,2013-08-12T16:54:24Z,duplicate of #8 ;-),NA,NA,NA
6,22511233,cboettig,2013-08-12T17:44:23Z,2013-08-12T17:44:23Z,"Ah ha!  

I have been writing `tip.label` (e.g., the species name) to the `otu` attribute of `node` element.  The examples appear to create an id, such as `t1`, for these `otu` labels, and then define the `id` using the species name in the `otus` element.  

It is not entirely clear to me what the advantage of having `<node id = ""n1"" otu=""t1"">` and `<otu id = ""t1"" label = ""Species Name"">` is over simply having `<node id = ""n1"" otu = ""Species Name"">`, but there's probably a good reason and we should follow it.  


In coercing a NeXML tree into a phylo object, I currently therefore assign the node's otu value as the tip label. A convoluted approach would replace these otu species names with identifiers when writing the `otus` node.  

## Alternate approach, more logical

`phylo => tree` should ignore the tip labels and just generate tip ids in their place.  `phylo => nexml` would get the tip labels from `phy$tip.label` when generating the `otus` node, for use in the `<otu label` attribute.

`nexml => phylo` would then run `nexml=>tree`, and then update phy$labels from `otus` element.  

## potential bug

[ ]  Importantly, we probably generate a bug when non-tip nodes in the NeXML have otu attributes. This bug should be demonstrated and fixed.  Going from `phylo => tree`, we can use who has a tip label as an indication of what node is a tip.  But going from `tree => phylo` we should not assume anyone with an `otu` is a tip.  





",NA,NA,NA
14,22547873,rvosa,2013-08-13T07:36:16Z,2013-08-13T07:36:16Z,Do we expect people to alter the DOM tree a lot (i.e. are their risks of clashes if we use a simpler scheme)? Otherwise maybe tag name + a counter is more concise?,NA,NA,NA
14,22682377,cboettig,2013-08-15T02:59:47Z,2013-08-15T02:59:47Z,"@rvosa Yeah, I'm not sure -- still trying to wrap my head around this one.  Most users will probably only use the top-level API for writing an `ape::phylo` tree or list of trees (`ape:multiPhylo`) to NeXML, in which case we can number them as we go.  But the S4-Class-based interface we have so far also allows users to just coerce `ape::phylo` trees into the S4 `RNeXML::tree` class, which can then be inserted into NeXML later.  Perhaps we don't want users doing that, but this means they could modularly build up the DOM and we then have to watch out for collisions.  

Or in more concrete terms, I have this `setAs(""phylo"", ""tree"" ...)` subroutine for mapping phylo objects to the S4 object that mimics the schema.  Since the phylo object doesn't have an ID, I either have to generate one at this time, or otherwise add the id when adding the tree to an existing or new nexml/trees object.  Does that make sense?


In other news, the validator complains that UUIDs aren't valid id attributes: 

> ... is not a valid value of the atomic type 'xs:ID'

",NA,NA,NA
8,22682466,cboettig,2013-08-15T03:03:32Z,2013-08-28T20:36:52Z,"e12854078a2acd37e40f49e9c5fbee134c38575f now provides `id` attribute on `otus`, and references this `id` in the `otus` attribute of the `trees` element, e.g. 

```xml
  <otus id=""tax1"">
    <otu id=""t1""/>
    <otu id=""t3""/>
    <otu id=""t2""/>
    <otu id=""t5""/>
    <otu id=""t4""/>
  </otus>
  <trees id=""Trees"" otus=""tax1"">
```

Still need to use generic identifiers for ids (currently using taxon names) and add taxon names to the `otu` `label` attribute...",NA,NA,NA
14,22683684,hlapp,2013-08-15T03:50:02Z,2013-08-15T03:50:02Z,"
On Aug 14, 2013, at 10:59 PM, Carl Boettiger wrote:

> In other news, the validator complains that UUIDs aren't valid id attributes:
> 
That sounds like a validator bug.",NA,NA,NA
14,22693947,rvosa,2013-08-15T09:44:29Z,2013-08-15T09:44:29Z,"What do the UUIDs look like? The schema specifies that the type of @id is
xs:ID, which is a non-colonized name (NCName), so instance documents must
conform to the production rules of NCNames (probably most importantly:
start with a letter or an underscore). If they don't, I don't see how the
validator is at fault here.


On Thu, Aug 15, 2013 at 5:50 AM, Hilmar Lapp <notifications@github.com>wrote:

>
> On Aug 14, 2013, at 10:59 PM, Carl Boettiger wrote:
>
> > In other news, the validator complains that UUIDs aren't valid id
> attributes:
> >
> That sounds like a validator bug.
>
> —
> Reply to this email directly or view it on GitHub<https://github.com/ropensci/RNeXML/issues/14#issuecomment-22683684>
> .
>



-- 

Dr. Rutger A. Vos
Bioinformaticist
Naturalis Biodiversity Center
Visiting address: Office A109, Einsteinweg 2, 2333 CC, Leiden, the
Netherlands
Mailing address: Postbus 9517, 2300 RA, Leiden, the Netherlands
http://rutgervos.blogspot.com",NA,NA,NA
14,22705449,hlapp,2013-08-15T14:16:11Z,2013-08-15T14:16:11Z,"
On Aug 15, 2013, at 5:44 AM, Rutger Vos wrote:

> What do the UUIDs look like? [...] instance documents must  conform to the production rules of NCNames (probably most importantly:  start with a letter or an underscore). If they don't, I don't see how the 
> validator is at fault here.

UUIDs can start with a digit.

@cboettig: I suggest that if you choose UUIDs, you put them in the form of a urn:uuid:<UUID> scheme. See http://www.ietf.org/rfc/rfc4122.txt",NA,NA,NA
